nombre;precio_compra;precio_venta;stock;categoria;codigo;descripcion;stock_minimo
RESALTADOR OFFI-ESCO x 6 COLORES SURTIDO (OE-530);5370;7000;3;papeleria;1;;1
PLUMON GIPAO LAVABLE X12 PUNTA BALA (GP-267);6220;8000;3;papeleria;2;;1
LAPIZ MIRADO No 2 AMARILLO (1790161);610;1000;24;papeleria;3;;5
LAPIZ NORMA TRIANGULAR 2HB (576174)(533131);440;800;12;papeleria;4;;3
LAPIZ ROJO COLORCHEK (1705)(1790094);975;1500;12;papeleria;5;;3
LAPIZ OFFI-ESCO TRIANGULAR ROJO (OE-149) CAJA;500;1000;12;papeleria;6;;3
COLOR NORMA 13+2 DRAGON NUEVA PRESENTACION (55580;11900;15000;6;papeleria;7;;2
COLOR PRISMACOLOR X 18 UNIPUNTA 4.0MM JUNIOR (215301;12300;16000;6;papeleria;8;;2
COLOR OFFI-ESCO X12 TRIANGULAR 4MM (OE-140);5550;7500;6;papeleria;9;;2
COLOR NUEVO ARTISAN X 24 REDONDO 4 MM CAJA TRICOLO;12350;15500;3;papeleria;10;;1
BOLIGRAFO BIC CRISTAL AZUL (1100003);530;1000;12;papeleria;11;;3
BOLIGRAFO BIC CRISTAL ROJO (1100048);530;1000;12;papeleria;12;;3
BOLIGRAFO BIC CRISTAL NEGRO (1100048);530;1000;12;papeleria;13;;3
BOLIGRAFO OFFI-ESCO 0.7MM SEMI GEL NEGRO PUNTA FINA;550;1000;12;papeleria;14;;3
BOLIGRAFO KILOMETRICO 100 NEGRO 1.0 mm SANFORD (3533;485;800;12;papeleria;15;;3
BOLIGRAFO KILOMETRICO DISEÑOS 100 AZUL TAPA (1967172);498;800;12;papeleria;16;;3
BOLIGRAFO KILOMETRICO 100 ROJO 1.0 MM SANFORD (3532);485;800;12;papeleria;17;;3
BOLIGRAFO KILOMETRICO 100 FUCSIA 0.5 SANFORD (3565);485;800;12;papeleria;18;;3
BOLIGRAFO KILOMETRICO 100 MORADO SANFORD (3563);590;800;12;papeleria;19;;3
BOLIGRAFO KILOMETRICO 100 AZUL TURQUESA 0.5 SANFORD;485;800;12;papeleria;20;;3
BOLIGRAFO KILOMETRICO 100 RETRACTIL AZUL SANFORD (35;750;1100;12;papeleria;21;;3
BOLIGRAFO KILOMETRICO 100 RETRACTIL NEGRO SANFORD (;750;1100;12;papeleria;22;;3
BOLIGRAFO KILOMETRICO 100 RETRACTIL ROJO SANFORD (3;750;1100;12;papeleria;23;;3
SACAPUNTA METAL IMPORT CAJA VERDE (A1002MR);260;600;24;papeleria;24;;5
BORRADOR NATA 624 PEQUEÑO (LINEA AZUL)(ORION)(SCHO;150;400;12;papeleria;25;;3
BORRADOR NATA 612 GRANDE (LINEA AZUL)(ORION)(SCHOOL;280;600;24;papeleria;26;;5
BORRADOR GIPAO MIGA DE PAN 4B NEGRO-BEIS-COLORES-P;710;1000;60;papeleria;27;;10
MICROPUNTA PELIKAN NEGRO 157 (30013017);1300;1800;10;papeleria;28;;2
MICROPUNTA PELIKAN ROJO 157;1300;1800;10;papeleria;29;;2
MICROPUNTA PELIKAN AZUL 157;1300;1800;10;papeleria;30;;2
PLUMON PARCHESITO X 6 (761226);3300;4200;6;papeleria;31;;2
PLUMON PARCHESITO X 12 (750008);5470;7500;6;papeleria;32;;2
MICROPUNTAS DORICOLOR X 10 COLORES ESTUCHE;8990;13000;3;papeleria;33;;1
MARCADOR DORICOLOR GRAFICO X 10 ESTUCHE (570132);16650;22000;2;papeleria;34;;1
LAPIZ FABER-CASTELL DIBUJO 8B GRADUADO (0625995);1650;2300;12;papeleria;35;;3
LAPIZ FABER-CASTELL DIBUJO 6B GRADUADO (0501596);1650;2300;12;papeleria;36;;3
LAPIZ FABER-CASTELL DIBUJO 2H GRADUADO (0501602);1650;2300;12;papeleria;37;;3
MARCADOR DORICOLOR PERMANENTE AZUL (570026);1380;2000;10;papeleria;38;;2
MARCADOR DORICOLOR PERMANENTE NEGRO (570033);1380;2000;10;papeleria;39;;2
MARCADOR DORICOLOR PERMANENTE ROJO (570002);1380;2000;10;papeleria;40;;2
MARCADOR DORICOLOR PERMANENTE VERDE (570019);1380;2000;10;papeleria;41;;2
CORRECTOR GIPAO LAPIZ BLACK;1100;2000;12;papeleria;42;;3
CORRECTOR OFFI-ESCO LAPIZ 250;980;1500;24;papeleria;43;;5
CORRECTOR CINTA OFFI-ESCO 6M CARTON (OE-260);1999;2500;6;papeleria;44;;1
MARCADOR DORICOLOR BORRABLE NEGRO;1505;2000;10;papeleria;45;;2
MARCADOR DORICOLOR BORRABLE AZUL;1505;2000;10;papeleria;46;;2
MARCADOR DORICOLOR BORRABLE ROJO;1505;2000;10;papeleria;47;;2
MARCADOR DORICOLOR BORRABLE VERDE;1505;2000;10;papeleria;48;;2
TEMPERA PARCHESITOS X 6 COLORES BASICOS DORICOLOR;3800;5000;3;papeleria;49;;1
VINILO POWER 125 COLORES ARTISTICOS;2021;2500;24;papeleria;50;;5
VINILO POWER 125 COLORES FLUORESCENTES;3468;4300;12;papeleria;51;;3
PLASTILINA PARCHESITO X 13 LARGA (141332);2950;3800;6;papeleria;52;;2
PLASTILINA PARCHESITO X 9 PEQUEÑA 55 GM (140038)(14134;1220;1700;6;papeleria;53;;2
